fecha,trabajo_realizado,calle,tipo,referencia,barrio,insumos_1,cantidad_1,insumos_2,cantidad_2,insumos_3,cantidad_3,insumos_4,cantidad_4
28/04/25,activacion de comando nuevo,av belgrano,publico,paseo del agro,null,null,null,null,null,null,null,null,null
28/04/25,colocacion de bandera provincial y fernandez,av belgrano,null,paseo del agro,null,null,null,null,null,null,null,null,null
28/04/25,reconexion,null,null,flia mamfred@,2 de abril,null,null,null,null,null,null,null,null
28/04/25,colocacion de lampara,cordoba,publico,cordoba y mar argentino,null,lampara 80w,1,null,null,null,null,null,null
28/04/25,colocacion de lampara,cordoba,publico,cordoba y uriarte,2 de abril ampliacion,lampara 80w,1,null,null,null,null,null,null
28/04/25,colocacion de lampara,ruta 34 vieja,publico,flia farfan,null,lampara 80w,1,null,null,null,null,null,null
28/04/25,colocacion de fotocelula  ,null,null,mistol,null,fotocelula industrial,1,null,null,null,null,null,null
28/04/25,colocacion de lampara,garcia mendez,publico,garcia mendez y belgrano,null,lampara 80w,1,null,null,null,null,null,null
28/04/25,trabajo en taller,null,null,taller,null,null,null,null,null,null,null,null,null
28/04/25,trabajo en el peaje,ruta 34 nueva,publico,pasando la YPF,null,null,null,null,null,null,null,null,null
29/05/25,retiro de insumo,av san martin,publico,municipalidad,centro,lampara 80w,10,null,null,null,null,null,null
29/05/25,colocacion de lampara,libertad,publico,ninguna,libertad,lampara 80w,2,null,null,null,null,null,null
29/05/25,colocacion de lampara,null,publico,"canalito, costado del canal de drenaje",null,lampara 80w,4,null,null,null,null,null,null
29/05/25,"colocacion de lampara, cables y parada de columna",null,publico,plazoleta,maipú,lampara 80w,2,cable subteraneo 1.5mm,2 Mm,null,null,null,null
29/05/25,colocacion de lampara,uriquiza,publico,urquiza y pedro leon gallo,null,lampara 80w,1,null,null,null,null,null,null
29/05/25,retiro de cable,null,publico,null,null,null,null,null,null,null,null,null,null
29/05/25,colocacion de lampara,Urquiza,publico,Urquiza y fransisco de aguirre,null,lampara 80w,1,null,null,null,null,null,null
29/05/25,cambio de farola,santiago del estero,publico,esquina de santiago del estero y av san martin,null,farola 40w,10,null,null,null,null,null,null
29/05/25,trabajo en taller,null,publico,taller,null,null,null,null,null,null,null,null,null
